Date,Price,Open,High,Low,Vol.,Change %,GoogleValues
2020-08-16,11899.0,11845.5,11922.5,11688.9,410.81,0.45,31
2020-08-09,11681.2,11764.4,11792.8,11527.5,303.0,-0.71,31
2020-08-02,11066.8,11802.6,12061.1,10730.7,647.95,-6.24,36
2020-07-26,9932.5,9690.0,10086.6,9645.9,415.07,2.35,37
2020-07-19,9208.0,9170.1,9224.8,9106.4,265.25,0.41,25
2020-07-12,9300.8,9234.2,9337.8,9170.4,366.88,0.73,27
2020-07-05,9081.0,9134.3,9149.6,8932.1,314.1,-0.58,23
2020-06-28,9124.0,9008.4,9185.5,8950.2,329.01,1.28,23
2020-06-21,9296.4,9358.8,9411.2,9288.5,335.99,-0.67,23
2020-06-14,9345.3,9470.7,9474.7,9264.4,311.27,-1.33,26
2020-06-07,9742.6,9669.6,9791.8,9417.4,549.2,0.76,27
2020-05-31,9454.8,9692.9,9695.6,9406.2,645.27,-2.45,29
2020-05-24,8728.2,9177.9,9292.0,8724.1,1.11,-4.89,30
2020-05-17,9677.7,9376.6,9866.0,9327.8,1.18,3.18,33
2020-05-10,8738.8,9553.9,9569.4,8259.3,2.47,-8.54,49
2020-05-03,8885.5,8966.2,9169.9,8742.2,1.15,-0.9,42
2020-04-26,7678.9,7540.4,7679.4,7520.5,921.59,1.84,38
2020-04-19,7122.9,7230.9,7238.0,7079.1,5.93,-1.49,29
2020-04-12,6917.6,6867.9,7158.8,6785.1,1.1,0.73,29
2020-04-05,6772.7,6857.5,6889.4,6686.0,842.33,-1.23,31
2020-03-29,5890.4,6233.2,6258.8,5889.3,916.17,-5.51,31
2020-03-22,5822.1,6186.9,6394.4,5771.2,1.48,-5.89,35
2020-03-15,5366.3,5182.9,5863.3,5120.6,1.61,3.54,47
2020-03-08,8034.1,8887.8,8888.0,8015.3,1.11,-9.61,46
2020-03-01,8540.0,8543.8,8737.2,8437.2,784.05,-0.04,25
2020-02-23,9942.7,9655.6,9965.6,9653.4,775.88,2.97,26
2020-02-16,9932.3,9907.4,10056.4,9654.9,808.91,0.25,26
2020-02-09,10151.5,9895.4,10157.1,9882.7,617.35,2.59,30
2020-02-02,9334.9,9381.5,9465.4,9183.1,683.37,-0.5,24
2020-01-26,8607.8,8341.6,8607.8,8304.9,468.34,3.19,26
2020-01-19,8706.2,8916.3,9183.7,8552.8,975.01,-2.36,22
2020-01-12,8187.6,8023.3,8189.9,7973.1,595.22,2.04,26
2020-01-05,7372.5,7376.8,7501.0,7345.6,628.14,-0.06,26
2019-12-29,7397.5,7321.6,7518.9,7303.0,611.69,1.04,33
2019-12-22,7495.8,7156.3,7501.1,7142.0,677.94,4.74,32
2019-12-15,7128.5,7080.8,7175.8,7033.8,492.58,0.67,34
2019-12-08,7524.4,7510.8,7576.4,7416.7,499.04,0.18,33
2019-12-01,7396.4,7546.5,7546.5,7244.4,777.0,-1.99,34
2019-11-24,6924.7,7325.0,7344.1,6894.9,904.5,-5.45,41
2019-11-17,8509.8,8497.4,8631.7,8413.0,531.22,0.15,38
2019-11-10,9036.8,8804.7,9092.9,8763.5,581.57,2.64,33
